SchoolName,Religion,Level,YearTerm,Total
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,M4,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,M5,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,M6,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,P1,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,P2,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,P3,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,P4,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,P5,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,P6,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,M2,2565/1,2
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,M3,2565/1,4
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,M4,2565/1,11
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,M5,2565/1,5
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,คริสต์,M6,2565/1,5
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,P1,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,P2,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,P3,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,P4,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,P5,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,P6,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,M2,2565/1,559
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,M3,2565/1,569
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,M4,2565/1,566
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,M5,2565/1,581
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,พุทธ,M6,2565/1,619
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,P1,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,P2,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,P3,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,P4,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,P5,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,P6,2565/1,0
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,M2,2565/1,3
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,M3,2565/1,3
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,M4,2565/1,6
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,M5,2565/1,8
โรงเรียนสวนกุหลาบวิทยาลัย รังสิต,อิสลาม,M6,2565/1,3
